# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       4.883503179606e-08       4.209195396505e-16       1.324023674832e-12       2.216947691872e-21       9.395786014582e-10       6.591614771095e-09       2.533693730728e-13 
    3       4.107917928352e-08       1.144455629743e-15       2.930094910344e-12       4.434281175780e-21       3.331248814336e-10       3.562730322399e-09       3.204043447267e-13 
    4       3.525252646135e-08       2.681455663563e-15       5.219915609707e-12       7.391392888654e-21       1.552191627504e-10       2.232187545582e-09       3.895975902416e-13 
    5       3.063196005568e-08       5.293204555016e-15       7.746426913746e-12       1.108897866084e-20       8.459090012564e-11       1.522327766935e-09       4.385896773636e-13 
    6       2.684506701337e-08       8.919123193274e-15       1.008623866211e-11       1.552805251419e-20       5.101946347306e-11       1.096863773093e-09       4.619605828597e-13 
    7       2.367359728594e-08       1.309871035888e-14       1.195021374108e-11       2.071002661574e-20       3.308381973999e-11       8.219663358483e-10       4.619031879157e-13 
    8       2.097784726221e-08       1.707883126754e-14       1.316811575414e-11       2.663679216963e-20       2.266116898525e-11       6.345642818223e-10       4.424817803391e-13 
    9       1.866354057637e-08       2.005947314200e-14       1.368147304329e-11       3.331079443237e-20       1.620527711262e-11       5.015547579714e-10       4.083715524760e-13 
   10       1.666117934841e-08       2.145785839454e-14       1.352292617325e-11       4.073509496672e-20       1.200031673424e-11       4.041250261395e-10       3.642373886670e-13 
   11       1.491796000408e-08       2.108242507942e-14       1.279034660339e-11       4.891341457140e-20       1.145069121908e-11       3.256139384984e-10       2.764579644438e-13 
   12       1.339372863647e-08       1.916024301523e-14       1.161908781560e-11       5.785015103119e-20       8.895679031223e-12       2.673585041209e-10       2.264506299242e-13 
   13       1.205620541514e-08       1.622812265023e-14       1.015723330857e-11       6.755036689741e-20       7.042942959401e-12       2.223266233011e-10       1.777534393392e-13 
