# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       5.653675407956e-10       2.192989301097e-15       1.041596207169e-12       0.000000000000e+00       1.562746152213e-09       7.607832422302e-10       1.205196741625e-12 
    3       5.300954491310e-10       8.199878550443e-16       5.626455748584e-13       0.000000000000e+00       1.048007474165e-09       5.996604617567e-10       4.603217583242e-13 
    4       4.526147714891e-10       9.885106003156e-16       3.478790725102e-13       0.000000000000e+00       7.355078904139e-10       4.483205816016e-10       5.251028451154e-14 
    5       3.934280453278e-10       1.920750767179e-15       2.978391519272e-13       0.000000000000e+00       5.418012983172e-10       3.414905734918e-10      -9.571914175567e-14 
    6       3.537743910038e-10       3.494698238186e-15       2.976868369212e-13       0.000000000000e+00       4.139356868770e-10       2.666827202717e-10      -1.498868098121e-13 
    7       3.290099442540e-10       5.792692401773e-15       2.997403177016e-13       0.000000000000e+00       3.249200531245e-10       2.128759250310e-10      -1.681270238647e-13 
    8       3.144811641491e-10       8.923074013569e-15       2.789658819673e-13       0.000000000000e+00       2.604299891872e-10       1.730257069862e-10      -1.723109381539e-13 
    9       3.074443285318e-10       1.298110027681e-14       2.242033737450e-13       0.000000000000e+00       2.122535506089e-10       1.427606546634e-10      -1.710955349302e-13 
   10       3.061125301783e-10       1.803213460775e-14       1.290459734339e-13       0.000000000000e+00       1.753769262329e-10       1.193390927776e-10      -1.678221403106e-13 
   11       3.087189809373e-10       2.410899098649e-14      -9.585634418080e-15       0.000000000000e+00       1.475480734683e-10       1.040434880757e-10      -1.613757828941e-13 
   12       3.146001368984e-10       3.121310160785e-14      -1.925269960030e-13       0.000000000000e+00       1.243977342949e-10       8.899493201959e-11      -1.564440787745e-13 
   13       3.232360070837e-10       3.930932266937e-14      -4.209463122839e-13       0.000000000000e+00       1.058981060986e-10       7.665269700895e-11      -1.602693528970e-13 
   14       3.339243345357e-10       4.832402304063e-14      -6.942039206330e-13       0.000000000000e+00       9.076525603468e-11       6.705669444359e-11      -1.435693096002e-13 
   15       3.463547322509e-10       5.815073569531e-14      -1.009156588374e-12       0.000000000000e+00       7.836068769016e-11       5.844088190471e-11      -1.533809000189e-13 
   16       3.603531524792e-10       6.865082752213e-14      -1.361921996790e-12       0.000000000000e+00       6.804875264804e-11       5.184314541136e-11      -1.364527202576e-13 
   17       3.757728754414e-10       7.965384203190e-14      -1.748264054800e-12       0.000000000000e+00       5.941490523776e-11       4.580212981877e-11      -1.442890807151e-13 
   18       3.924424971494e-10       9.096348138336e-14      -2.163219728395e-12       0.000000000000e+00       5.211069129822e-11       4.075536773077e-11      -1.453298262676e-13 
   19       4.102766482361e-10       1.023670625622e-13      -2.600488125931e-12       0.000000000000e+00       4.596398934050e-11       3.671157461464e-11      -1.344536747058e-13 
   20       4.290667712917e-10       1.136327024164e-13      -3.052715409406e-12       0.000000000000e+00       4.068906691724e-11       3.313747819997e-11      -1.274560990267e-13 
   21       4.487443652832e-10       1.245247633138e-13      -3.512089347137e-12       0.000000000000e+00       3.616819498083e-11       2.996312128872e-11      -1.242892333818e-13 
   22       4.692042200041e-10       1.348021373985e-13      -3.970296412969e-12       0.000000000000e+00       3.225860752998e-11       2.721415302534e-11      -1.197173875778e-13 
   23       4.903715512244e-10       1.442359159712e-13      -4.419000109572e-12       0.000000000000e+00       2.888174814189e-11       2.483912042058e-11      -1.137982464742e-13 
   24       5.121217233437e-10       1.526069004432e-13      -4.849647163689e-12       0.000000000000e+00       2.593418754012e-11       2.273216799328e-11      -1.081811106811e-13 
   25       5.343477058753e-10       1.597218117123e-13      -5.253424990916e-12       0.000000000000e+00       2.336352199519e-11       2.086206971062e-11      -1.028506778945e-13 
   26       5.569042376194e-10       1.654113337759e-13      -5.621430225591e-12       0.000000000000e+00       2.110533948587e-11       1.919942792132e-11      -9.725469497592e-14 
   27       5.796629868781e-10       1.695438837642e-13      -5.945081273219e-12       0.000000000000e+00       1.911872571469e-11       1.771124800182e-11      -9.131744598422e-14 
   28       6.024723076121e-10       1.720256694593e-13      -6.216104557943e-12       0.000000000000e+00       1.735534147672e-11       1.635426100911e-11      -8.509676287457e-14 
   29       6.252112699267e-10       1.728147889020e-13      -6.426838613674e-12       0.000000000000e+00       1.579825107589e-11       1.512052258957e-11      -7.865219419355e-14 
   30       6.477335506447e-10       1.719184535663e-13      -6.570168881966e-12       0.000000000000e+00       1.442281934781e-11       1.400201790930e-11      -7.203152622796e-14 
   31       6.698628285141e-10       1.693951791182e-13      -6.639608818526e-12       0.000000000000e+00       1.319087720839e-11       1.298262766015e-11      -6.533528132940e-14 
   32       6.914644614664e-10       1.653613947739e-13      -6.629570003172e-12       0.000000000000e+00       1.209020927034e-11       1.206345941709e-11      -5.896645214120e-14 
   33       7.123949902787e-10       1.599953159184e-13      -6.535370435486e-12       0.000000000000e+00       1.110728852164e-11       1.124531277268e-11      -5.348055665378e-14 
   34       7.324927647874e-10       1.535370781319e-13      -6.353290143687e-12       0.000000000000e+00       1.022146096961e-11       1.052051586224e-11      -4.929839324621e-14 
   35       7.516195943348e-10       1.462785018411e-13      -6.080635309273e-12       0.000000000000e+00       9.424492540551e-12       9.870170650172e-12      -4.591414033907e-14 
   36       7.696304152577e-10       1.385773469864e-13      -5.715876745526e-12       0.000000000000e+00       8.706491305912e-12       9.264469745613e-12      -4.239066710162e-14 
   37       7.863733189705e-10       1.308514223771e-13      -5.258654044667e-12       0.000000000000e+00       8.053951865866e-12       8.672637918037e-12      -3.783800162176e-14 
   38       8.017328066936e-10       1.235341116334e-13      -4.709484605227e-12       0.000000000000e+00       7.462981240012e-12       8.097591754461e-12      -3.239844421228e-14 
   39       8.155992920440e-10       1.171103267225e-13      -4.070129314538e-12       0.000000000000e+00       6.929685765958e-12       7.552186271324e-12      -2.658492731124e-14 
   40       8.278568416004e-10       1.121325727635e-13      -3.343795848694e-12       0.000000000000e+00       6.446205793072e-12       7.049906336965e-12      -2.102659676450e-14 
   41       8.383927626606e-10       1.091990051973e-13      -2.534980071462e-12       0.000000000000e+00       6.002995427185e-12       6.601426911701e-12      -1.630427658007e-14 
   42       8.471313869102e-10       1.088712001729e-13      -1.648691916105e-12       0.000000000000e+00       5.597351150795e-12       6.203005508783e-12      -1.237504668602e-14 
   43       8.540103976199e-10       1.117350840753e-13      -6.911428959920e-13       0.000000000000e+00       5.227101641235e-12       5.844270154164e-12      -8.972527564700e-15 
   44       8.589718295816e-10       1.184253043025e-13       3.299396429676e-13       0.000000000000e+00       4.888086994392e-12       5.511054290709e-12      -5.757997262228e-15 
   45       8.619672952692e-10       1.295879972949e-13       1.405723459502e-12       0.000000000000e+00       4.575372632242e-12       5.189135755440e-12      -2.407540955801e-15 
   46       8.629751201310e-10       1.457522704687e-13       2.527841059567e-12       0.000000000000e+00       4.287681618530e-12       4.877397349499e-12       1.084648228970e-15 
   47       8.619886233965e-10       1.674228600986e-13       3.687151925937e-12       0.000000000000e+00       4.024029133222e-12       4.578159947822e-12       4.626678586960e-15 
   48       8.590119605460e-10       1.951148273976e-13       4.873240463953e-12       0.000000000000e+00       3.782400464526e-12       4.293497817794e-12       8.112124684340e-15 
   49       8.540605867963e-10       2.293528334949e-13       6.074363551585e-12       0.000000000000e+00       3.559677817188e-12       4.025209732311e-12       1.141932055946e-14 
   50       8.471640030232e-10       2.706251784749e-13       7.278111052300e-12       0.000000000000e+00       3.352448429592e-12       3.774611115447e-12       1.444069635047e-14 
   51       8.383737969345e-10       3.192328930357e-13       8.473720401657e-12       0.000000000000e+00       3.159857327259e-12       3.541910983822e-12       1.718181567310e-14 
   52       8.277585857462e-10       3.753984312227e-13       9.650299626144e-12       0.000000000000e+00       2.981402400696e-12       3.326615950153e-12       1.968799907389e-14 
   53       8.154024818659e-10       4.393045401581e-13       1.079615084109e-11       0.000000000000e+00       2.816089809286e-12       3.127657985391e-12       2.201732039646e-14 
   54       8.014056637873e-10       5.110914062687e-13       1.189875135193e-11       0.000000000000e+00       2.662402262950e-12       2.943357109785e-12       2.424131379062e-14 
   55       7.858802375489e-10       5.908211877360e-13       1.294557319154e-11       0.000000000000e+00       2.518690934965e-12       2.771761935765e-12       2.642420739050e-14 
   56       7.689353093022e-10       6.783678317438e-13       1.392682343845e-11       0.000000000000e+00       2.384537875305e-12       2.611855835032e-12       2.855296354301e-14 
   57       7.506892044162e-10       7.734948868638e-13       1.483335154992e-11       0.000000000000e+00       2.259676492850e-12       2.462585059724e-12       3.059109745236e-14 
   58       7.312742309931e-10       8.758816840170e-13       1.565588403721e-11       0.000000000000e+00       2.143582695264e-12       2.322485047203e-12       3.249850103145e-14 
   59       7.108370672786e-10       9.851192120359e-13       1.638503823322e-11       0.000000000000e+00       2.035459675763e-12       2.189657832605e-12       3.423131328776e-14 
   60       6.895391490724e-10       1.100705993225e-12       1.701133606009e-11       0.000000000000e+00       1.934222699875e-12       2.061749461400e-12       3.574179070930e-14 
   61       6.675476453801e-10       1.222048648748e-12       1.752607177718e-11       0.000000000000e+00       1.838764715409e-12       1.936592149687e-12       3.699056103046e-14 
   62       6.450051418919e-10       1.348473073784e-12       1.792411168488e-11       0.000000000000e+00       1.748857267361e-12       1.814350300010e-12       3.798689185775e-14 
   63       6.220538091327e-10       1.479208463278e-12       1.820175013513e-11       0.000000000000e+00       1.664425727176e-12       1.695818292200e-12       3.875727190190e-14 
   64       5.988443007695e-10       1.613378946576e-12       1.835595105871e-11       0.000000000000e+00       1.585280135734e-12       1.581796775550e-12       3.933408327822e-14 
   65       5.755358423935e-10       1.749999611789e-12       1.838438882896e-11       0.000000000000e+00       1.511108900428e-12       1.473091173322e-12       3.975586480773e-14 
   66       5.522963203022e-10       1.887972530156e-12       1.828548912553e-11       0.000000000000e+00       1.441472492237e-12       1.370510187243e-12       4.006757531840e-14 
   67       5.293023702819e-10       2.026082780415e-12       1.805846979816e-11       0.000000000000e+00       1.375797142795e-12       1.274864302004e-12       4.032085694635e-14 
   68       5.067260751761e-10       2.163082537333e-12       1.770367775490e-11       0.000000000000e+00       1.313511776148e-12       1.186786095184e-12       4.056195442050e-14 
   69       4.846917291521e-10       2.297972009567e-12       1.722358755243e-11       0.000000000000e+00       1.254505112144e-12       1.106152229874e-12       4.079204183995e-14 
   70       4.633104319771e-10       2.429768546761e-12       1.662207948546e-11       0.000000000000e+00       1.198750286931e-12       1.032541117847e-12       4.099929312753e-14 
   71       4.426924559336e-10       2.557421919656e-12       1.590420903165e-11       0.000000000000e+00       1.146167221048e-12       9.653948070596e-13       4.117046331033e-14 
   72       4.229469921151e-10       2.679812596735e-12       1.507625528623e-11       0.000000000000e+00       1.096619979786e-12       9.040129287508e-13       4.129083611713e-14 
   73       4.041818967227e-10       2.795750020870e-12       1.414576939677e-11       0.000000000000e+00       1.049914133556e-12       8.475466445338e-13       4.134417157585e-14 
   74       3.865034373604e-10       2.903970885969e-12       1.312162299788e-11       0.000000000000e+00       1.005794118247e-12       7.949925934898e-13       4.131265361099e-14 
   75       3.700160393315e-10       3.003137413623e-12       1.201405664588e-11       0.000000000000e+00       9.639405955968e-13       7.451868392615e-13       4.117683764105e-14 
   76       3.548126013197e-10       3.091986253281e-12       1.083400868861e-11       0.000000000000e+00       9.240424306426e-13       6.970673932427e-13       4.092007822300e-14 
   77       3.409439644485e-10       3.169810339704e-12       9.590853517988e-12       0.000000000000e+00       8.860336122247e-13       6.505304322950e-13       4.054285995844e-14 
   78       3.284433889621e-10       3.236062181797e-12       8.294336956733e-12       0.000000000000e+00       8.498949411194e-13       6.057199449588e-13       4.005099683385e-14 
   79       3.173350510748e-10       3.290212377506e-12       6.955292368719e-12       0.000000000000e+00       8.155821541063e-13       5.627724700367e-13       3.945142283667e-14 
