# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
# The units of phi, tau in the derivatives and the potential V are the following:
# --> phi is given in units of the reduced Planck mass m_Pl = (8 pi G)^(-1/2)
# --> tau in the derivative of V(phi) is given in units of Mpc.
# --> the potential V(phi) is given in units of m_Pl^2/Mpc^2.
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_ur             13:(.)rho_crit           14:(.)rho_scf            15:(.)p_scf              16:(.)w_scf              17:phi_scf               18:phi'_scf              19:V_scf                 20:V'_scf                21:V''_scf               22:gr.fac. D             23:gr.fac. f          
       1.000000000000e+14       7.558503632224e-26       4.634785000235e-09       2.157545946648e+22       7.864208707110e+03       7.864208707110e-11       7.864208707110e+17       2.675958164815e-09       2.751560535470e+44       2.451390603497e+33       1.339408137477e+34       1.903443976270e+44       4.655004511898e+44       4.254380743377e+02       1.418126914459e+02       3.333333333333e-01       7.933743719450e-01       4.125230050980e-13       4.254380743377e+02      -6.201639896319e+05       8.545907580967e+05       8.160185832383e-18       2.000000000000e+14 
       9.930486593843e+13       7.664693049753e-26       4.667526809499e-09       2.127654528182e+22       7.864208707110e+03       7.919258168060e-11       7.809541913714e+17       2.694689871968e-09       2.675846458098e+44       2.400623788821e+33       1.311669806183e+34       1.851067333040e+44       4.526913791294e+44       4.138122955169e+02       1.301869126251e+02       3.146037805921e-01       7.933743719450e-01       4.068077628379e-13       4.254380743377e+02      -6.201639896319e+05       8.545907580967e+05       1.138446087684e-05       1.433565615564e+02 
       9.861456399050e+13       7.772374322409e-26       4.700268618762e-09       2.098177236191e+22       7.864208707110e+03       7.974692975236e-11       7.755255127819e+17       2.713552701072e-09       2.602215788102e+44       2.350908324129e+33       1.284505918930e+34       1.800131926217e+44       4.402347714471e+44       4.026630563196e+02       1.190376734279e+02       2.956260117724e-01       7.933743719450e-01       4.011717016021e-13       4.254380743377e+02      -6.201639896319e+05       8.545907580967e+05       2.276892175367e-05       7.167828077820e+01 
       9.792906056653e+13       7.881568409264e-26       4.733010428026e-09       2.069108333218e+22       7.864208707110e+03       8.030515826063e-11       7.701345707864e+17       2.732547569979e-09       2.530611196824e+44       2.302222436600e+33       1.257904579330e+34       1.750598097619e+44       4.281209294592e+44       3.919708234298e+02       1.083454405380e+02       2.764120032966e-01       7.933743719450e-01       3.956137243881e-13       4.254380743377e+02      -6.201639896319e+05       8.545907580967e+05       3.415338263050e-05       4.778552051880e+01 
       9.724832231036e+13       7.992296563846e-26       4.765752237290e-09       2.040442161294e+22       7.864208707110e+03       8.086729436845e-11       7.647811030650e+17       2.751675402969e-09       2.460976933110e+44       2.254544804314e+33       1.231854137361e+34       1.702427280332e+44       4.163404213587e+44       3.817168642002e+02       9.809148130839e+01       2.569744501960e-01       7.933743719450e-01       3.901327493919e-13       4.254380743377e+02      -6.201639896319e+05       8.545907580967e+05       4.553784350732e-05       3.583914038910e+01 
       9.657231609767e+13       8.104580338272e-26       4.799403541256e-09       2.012173140839e+22       7.864208707110e+03       8.143336542903e-11       7.594648491211e+17       2.770937130790e-09       2.393258779894e+44       2.207854546917e+33       1.206343184268e+34       1.655581968676e+44       4.048840748713e+44       3.718832138330e+02       8.825783094117e+01       2.373267403804e-01       7.933743719450e-01       3.847277097970e-13       4.254380743377e+02      -6.201639896319e+05       8.545907580967e+05       5.692230438415e-05       2.867131231128e+01 
       9.590100903443e+13       8.218441587444e-26       4.833054845221e-09       1.984295769572e+22       7.864208707110e+03       8.200339898703e-11       7.541855502692e+17       2.790333690705e-09       2.327404011992e+44       2.162131216471e+33       1.181360547562e+34       1.610025689010e+44       3.937429701143e+44       3.624526439059e+02       7.882726101410e+01       2.174829245681e-01       7.933743719450e-01       3.793975535669e-13       4.254380743377e+02      -6.201639896319e+05       8.545907580967e+05       6.830676526097e-05       2.389276025940e+01 
       9.523436845525e+13       8.333902473306e-26       4.866706149187e-09       1.956804621446e+22       7.864208707110e+03       8.257742277994e-11       7.489429496219e+17       2.809866026540e-09       2.263361355047e+44       2.117354788506e+33       1.156895286131e+34       1.565722971329e+44       3.829084326512e+44       3.534086321881e+02       6.978324929634e+01       1.974576819595e-01       7.933743719450e-01       3.741412432406e-13       4.254380743377e+02      -6.201639896319e+05       8.545907580967e+05       7.969122613779e-05       2.047950879377e+01 
       9.457236192179e+13       8.450985469153e-26       4.901266947854e-09       1.929694345585e+22       7.864208707110e+03       8.315546473940e-11       7.437367920773e+17       2.829535088726e-09       2.201080945604e+44       2.073505653244e+33       1.132936685446e+34       1.522639321645e+44       3.723720267383e+44       3.447353336936e+02       6.110995080181e+01       1.772662817793e-01       7.933743719450e-01       3.689577557304e-13       4.254380743377e+02      -6.201639896319e+05       8.545907580967e+05       9.107568701462e-05       1.791957019455e+01 
       9.391495722125e+13       8.569713364009e-26       4.934918251820e-09       1.902959665248e+22       7.864208707110e+03       8.373755299258e-11       7.385668243072e+17       2.849341834347e-09       2.140514292293e+44       2.030564607016e+33       1.109474252871e+34       1.480741195137e+44       3.621255487561e+44       3.364175529208e+02       5.279217002899e+01       1.569245408590e-01       7.933743719450e-01       3.638460821226e-13       4.254380743377e+02      -6.201639896319e+05       8.545907580967e+05       1.024601478914e-04       1.592850683960e+01 
